,0.0976562,0.195312,0.292969,0.390625,0.488281,0.585938,0.683594,0.78125,0.878906,0.976562,1.07422,1.17188,1.26953,1.36719,1.46484,1.5625,1.66016,1.75781,1.85547,1.95312
RSHash,4,17,39,67,101,147,187,233,284,344,410,481,559,630,703,786,861,940,1019,1108
JSHash,5,19,38,69,98,132,181,223,282,352,424,493,564,634,710,788,867,944,1030,1112
PJWHash,2,16,34,79,116,161,211,265,326,392,457,525,600,674,757,836,925,1005,1087,1169
ELFHash,9,25,51,80,122,172,219,276,337,404,469,531,609,689,758,841,926,1004,1083,1167
BKDRHash,6,19,47,79,117,154,197,255,307,364,422,481,557,629,703,781,865,954,1036,1120
SDBMHash,5,16,43,73,108,161,209,265,318,378,449,521,588,667,743,830,905,988,1071,1155
DJBHash,8,17,43,69,98,143,195,246,300,353,414,481,544,621,700,779,863,941,1030,1115
DEKHash,9,27,53,90,133,184,247,314,388,466,539,620,701,785,866,949,1038,1127,1224,1319
APHash,3,12,30,58,91,130,177,233,287,350,414,482,553,632,715,792,878,960,1046,1131
